training loss,training accuracy,f1 score,elapsed time
0.894,0.789,0.379,16.576
0.802,0.818,0.423,15.877
0.787,0.825,0.434,15.706
0.754,0.8320000000000001,0.447,15.361
0.741,0.841,0.464,15.567
0.726,0.8390000000000001,0.464,15.353
0.7120000000000001,0.8440000000000001,0.474,15.281
0.698,0.847,0.481,15.247
0.6970000000000001,0.845,0.478,15.322
0.6940000000000001,0.8490000000000001,0.484,15.133
0.68,0.85,0.489,15.239
0.664,0.856,0.501,15.158
0.6509999999999999,0.858,0.505,15.095999999999998
0.6609999999999999,0.855,0.5,15.194
0.6559999999999999,0.8540000000000001,0.498,15.252
0.652,0.858,0.507,15.219
0.6579999999999999,0.86,0.507,13.388
0.66,0.857,0.504,12.97
0.6679999999999999,0.853,0.496,12.751
0.649,0.8590000000000001,0.509,12.582
0.649,0.861,0.511,12.605
0.632,0.861,0.514,12.609000000000002
0.632,0.861,0.514,12.387
0.625,0.865,0.52,12.335
0.62,0.8640000000000001,0.52,12.514000000000001
0.609,0.867,0.528,12.342
0.633,0.863,0.519,12.467
0.62,0.863,0.518,12.383
0.604,0.865,0.524,12.324000000000002
0.614,0.865,0.522,12.414000000000001
0.596,0.872,0.536,12.342
0.615,0.87,0.532,12.491
0.603,0.871,0.536,12.45
0.6,0.872,0.536,12.412
0.599,0.872,0.5379999999999999,12.388
0.603,0.8690000000000001,0.531,12.384
0.602,0.871,0.534,12.409
0.583,0.8759999999999999,0.544,12.375
0.602,0.871,0.537,12.421
0.589,0.873,0.541,12.378
0.5770000000000001,0.8759999999999999,0.547,12.485
0.583,0.8759999999999999,0.547,12.38
0.574,0.8740000000000001,0.544,12.389000000000001
0.573,0.878,0.551,12.417
0.589,0.8740000000000001,0.5429999999999999,12.312000000000001
0.578,0.879,0.5539999999999999,12.306
0.5529999999999999,0.883,0.562,12.324000000000002
0.5720000000000001,0.879,0.5539999999999999,12.425999999999998
0.5770000000000001,0.8759999999999999,0.5489999999999999,12.433
0.581,0.879,0.552,12.285
0.5660000000000001,0.882,0.56,12.423
0.555,0.882,0.562,12.27
0.578,0.877,0.551,12.408
0.5529999999999999,0.885,0.57,12.312999999999999
0.557,0.883,0.564,12.31
0.569,0.8809999999999999,0.563,12.239
0.569,0.877,0.5529999999999999,12.37
0.56,0.879,0.555,12.4
0.555,0.882,0.563,12.304
0.545,0.8809999999999999,0.562,13.586
0.575,0.877,0.55,12.786
0.569,0.877,0.552,12.665
0.5660000000000001,0.878,0.555,12.588
0.562,0.8809999999999999,0.5589999999999999,12.519
0.565,0.8809999999999999,0.5579999999999999,12.576
0.574,0.877,0.551,16.726
0.568,0.8809999999999999,0.5589999999999999,16.136
0.5670000000000001,0.8809999999999999,0.5589999999999999,15.772
0.556,0.88,0.557,15.652000000000001
0.5579999999999999,0.884,0.565,15.73
0.5660000000000001,0.88,0.5579999999999999,15.673
0.556,0.883,0.562,15.477
0.555,0.879,0.5579999999999999,16.385
0.539,0.885,0.5720000000000001,15.385
0.575,0.8809999999999999,0.5579999999999999,15.217
0.544,0.887,0.573,14.945
0.5429999999999999,0.884,0.568,15.032
0.546,0.884,0.5670000000000001,14.857
0.537,0.887,0.575,14.827
0.528,0.887,0.574,14.908
0.506,0.893,0.59,14.69
0.545,0.8859999999999999,0.5710000000000001,14.946
0.519,0.892,0.5870000000000001,15.252
0.51,0.892,0.586,15.174
0.504,0.893,0.59,15.193
0.534,0.888,0.578,15.0
0.508,0.893,0.589,14.982
0.523,0.888,0.579,15.22
0.504,0.893,0.5920000000000001,15.222
0.516,0.892,0.585,15.087
0.51,0.894,0.591,15.09
0.516,0.894,0.589,15.087
0.518,0.892,0.585,15.059
0.519,0.892,0.586,15.007
0.527,0.889,0.579,14.955
0.498,0.894,0.594,14.976
0.508,0.893,0.591,15.03
